taxon_id,name,latin,order,family,weighted_records,province_count,base_rarity,range_bonus,iucn_category,iucn_bonus,iucn_trend,rarity_index
5170,灰椋鸟,Spodiopsar cineraceus,雀形目,椋鸟科,17362.4,34,1.2227,0.0000,LC,0.0,Unknown,1.22
5164,八哥,Acridotheres cristatellus,雀形目,椋鸟科,23945.8,30,0.8157,0.2941,LC,0.0,Stable,1.11
4229,黑水鸡,Gallinula chloropus,鹤形目,秧鸡科,23523.5,34,0.8385,0.0000,LC,0.0,Decreasing,0.84
4290,夜鹭,Nycticorax nycticorax,鹈形目,鹭科,23821.4,34,0.8223,0.0000,LC,0.0,Unknown,0.82
5411,白鹡鸰,Motacilla alba,雀形目,鹡鸰科,23919.3,34,0.8171,0.0000,LC,0.0,Stable,0.82
4770,大山雀,Parus minor,雀形目,山雀科,25443.0,33,0.7377,0.0735,LC,0.0,Unknown,0.81
4734,喜鹊,Pica serica,雀形目,鸦科,28274.5,33,0.6012,0.0735,LC,0.0,Unknown,0.67
4123,小䴙䴘,Tachybaptus ruficollis,䴙䴘目,䴙䴘科,27967.7,34,0.6153,0.0000,LC,0.0,Unknown,0.62
4711,棕背伯劳,Lanius schach,雀形目,伯劳科,35364.9,30,0.3079,0.2941,LC,0.0,Unknown,0.60
5383,麻雀,Passer montanus,雀形目,雀科,31179.9,34,0.4736,0.0000,LC,0.0,Unknown,0.47
4304,白鹭,Egretta garzetta,鹈形目,鹭科,34596.8,33,0.3369,0.0735,LC,0.0,Stable,0.41
5199,乌鸫,Turdus mandarinus,雀形目,鸫科,43379.3,31,0.0358,0.2206,LC,0.0,Stable,0.26
4866,白头鹎,Pycnonotus sinensis,雀形目,鹎科,42867.0,32,0.0517,0.1471,LC,0.0,Increasing,0.20
4148,珠颈斑鸠,Spilopelia chinensis,鸽形目,鸠鸽科,44549.1,33,0.0000,0.0735,LC,0.0,Increasing,0.08
